,Gene,variable,value
0,AAAS,1_ctrl,14
1,AAAS,1_ctrl,37
2,ABCA8,1_ctrl,12
3,ABCA8,1_ctrl,42
4,ABCB4,1_ctrl,11
5,ABCD3,1_ctrl,15
6,ABCD3,1_ctrl,7
7,ABCF1,1_ctrl,12
8,ABCF1,1_ctrl,7
9,ABCF1,1_ctrl,3
10,ABCF2,1_ctrl,8
11,ABHD10,1_ctrl,14
12,ABHD11,1_ctrl,20
13,ABHD11,1_ctrl,18
14,ABHD11,1_ctrl,5
15,ABHD6,1_ctrl,6
16,ABHD8,1_ctrl,33
17,ACAD9,1_ctrl,8
18,ACAD9,1_ctrl,11
19,ACAD9,1_ctrl,16
20,ACAP1,1_ctrl,12
21,ACAP1,1_ctrl,13
22,ACAP1,1_ctrl,20
23,ACBD3,1_ctrl,19
24,ACBD3,1_ctrl,20
25,ACBD3,1_ctrl,33
26,ACBD6,1_ctrl,5
27,ACBD6,1_ctrl,15
28,ACER3,1_ctrl,40
29,ACER3,1_ctrl,11
30,ACN9,1_ctrl,14
31,ACN9,1_ctrl,14
32,ACOT11,1_ctrl,6
33,ACOT11,1_ctrl,13
34,ACOT12,1_ctrl,32
35,ACOT12,1_ctrl,12
36,ACOT1,1_ctrl,18
37,ACOT1,1_ctrl,26
38,ACOT9,1_ctrl,8
39,ACOX2,1_ctrl,25
40,ACOX2,1_ctrl,6
41,ACOX2,1_ctrl,48
42,ACOX3,1_ctrl,9
43,ACOXL,1_ctrl,8
44,ACOXL,1_ctrl,7
45,ACSF2,1_ctrl,8
46,ACSF2,1_ctrl,10
47,ACSM3,1_ctrl,11
48,ACSM5,1_ctrl,9
49,ACSM5,1_ctrl,13
50,ACSS3,1_ctrl,12
51,ACTBL2,1_ctrl,9
52,ACTC1,1_ctrl,19
53,ACTC1,1_ctrl,15
54,ACTC1,1_ctrl,5
55,ACTC1,1_ctrl,21
56,ACTC1,1_ctrl,28
57,ACTG2,1_ctrl,10
58,ACTG2,1_ctrl,18
59,ACTG2,1_ctrl,26
60,ACTG2,1_ctrl,12
61,ACTG2,1_ctrl,6
62,ACTL7A,1_ctrl,10
63,ACTL7A,1_ctrl,5
64,ACTN1,1_ctrl,6
65,ACTN1,1_ctrl,8
66,ACTN2,1_ctrl,44
67,ACTN2,1_ctrl,12
68,ACTN3,1_ctrl,45
69,ACTN4,1_ctrl,26
70,ACTR10,1_ctrl,3
71,ACTR10,1_ctrl,9
72,ACTR10,1_ctrl,35
73,ACTR1B,1_ctrl,15
74,ACTR1B,1_ctrl,13
75,ACTRT1,1_ctrl,11
76,ACTRT1,1_ctrl,17
77,ACTRT2,1_ctrl,7
78,ACTRT2,1_ctrl,22
79,ACTRT3,1_ctrl,11
80,ADAP2,1_ctrl,8
81,ADARB2,1_ctrl,15
82,ADD2,1_ctrl,19
83,ADD2,1_ctrl,10
84,ADD3,1_ctrl,7
85,ADIPOQ,1_ctrl,20
86,ADIPOR1,1_ctrl,8
87,ADIPOR2,1_ctrl,44
88,ADIPOR2,1_ctrl,10
89,ADIPOR2,1_ctrl,5
90,ADO,1_ctrl,34
91,ADSL,1_ctrl,13
92,ADSL,1_ctrl,5
93,ADSL,1_ctrl,7
94,ADTRP,1_ctrl,8
95,ADTRP,1_ctrl,10
96,AGK,1_ctrl,8
97,AGK,1_ctrl,15
98,AGMAT,1_ctrl,4
99,AGPAT5,1_ctrl,17
100,AGPAT5,1_ctrl,8
101,AGPAT9,1_ctrl,25
102,AGPS,1_ctrl,21
103,AGPS,1_ctrl,7
104,AGR2,1_ctrl,4
105,AGR2,1_ctrl,10
106,AGR2,1_ctrl,4
